"Image_FileName_RawBF","Image_PathName_RawBF","Metadata_Date","Metadata_Experiment","Metadata_Plate","Metadata_Magnification","Metadata_Well","Image_PathName_wellmask_98.png","Image_FileName_wellmask_98.png"
"20200206-toxin02A-01-2X_A01.TIF","/projects/b1059/software/CellProfiler/projects/20200206_toxin02/raw_images","20200206","toxin02A","01","2X","A01","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"20200206-toxin02A-01-2X_A02.TIF","/projects/b1059/software/CellProfiler/projects/20200206_toxin02/raw_images","20200206","toxin02A","01","2X","A02","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"20200206-toxin02A-01-2X_A03.TIF","/projects/b1059/software/CellProfiler/projects/20200206_toxin02/raw_images","20200206","toxin02A","01","2X","A03","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"20200206-toxin02A-01-2X_A04.TIF","/projects/b1059/software/CellProfiler/projects/20200206_toxin02/raw_images","20200206","toxin02A","01","2X","A04","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"20200206-toxin02A-01-2X_A05.TIF","/projects/b1059/software/CellProfiler/projects/20200206_toxin02/raw_images","20200206","toxin02A","01","2X","A05","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"20200206-toxin02A-01-2X_A06.TIF","/projects/b1059/software/CellProfiler/projects/20200206_toxin02/raw_images","20200206","toxin02A","01","2X","A06","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"20200206-toxin02A-01-2X_A07.TIF","/projects/b1059/software/CellProfiler/projects/20200206_toxin02/raw_images","20200206","toxin02A","01","2X","A07","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"20200206-toxin02A-01-2X_A08.TIF","/projects/b1059/software/CellProfiler/projects/20200206_toxin02/raw_images","20200206","toxin02A","01","2X","A08","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"20200206-toxin02A-01-2X_A09.TIF","/projects/b1059/software/CellProfiler/projects/20200206_toxin02/raw_images","20200206","toxin02A","01","2X","A09","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"20200206-toxin02A-01-2X_A10.TIF","/projects/b1059/software/CellProfiler/projects/20200206_toxin02/raw_images","20200206","toxin02A","01","2X","A10","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"20200206-toxin02A-01-2X_A11.TIF","/projects/b1059/software/CellProfiler/projects/20200206_toxin02/raw_images","20200206","toxin02A","01","2X","A11","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"20200206-toxin02A-01-2X_A12.TIF","/projects/b1059/software/CellProfiler/projects/20200206_toxin02/raw_images","20200206","toxin02A","01","2X","A12","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"20200206-toxin02A-01-2X_B01.TIF","/projects/b1059/software/CellProfiler/projects/20200206_toxin02/raw_images","20200206","toxin02A","01","2X","B01","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"20200206-toxin02A-01-2X_B02.TIF","/projects/b1059/software/CellProfiler/projects/20200206_toxin02/raw_images","20200206","toxin02A","01","2X","B02","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
